,HasContext,IsA,FormOf,AtLocation,SimilarTo
20,"['torpent__medicine', 'scolopendrism__medicine', 'neuroglycopenia__medicine', 'orificial__medicine', 'mitempfindung__medicine', 'morbimortality__medicine', 'carcinoembryonic__medicine', 'urt__medicine', 'antixerophthalmic__medicine', 'endobiotic__medicine', 'testalgia__medicine', 'polypharmaceutical__medicine', 'decubitis__medical', 'staphylomatous__medicine', 'aggregometer__medicine', 'neurolymph__medicine', 'perinormal__medicine', 'pyogenesis__medicine', 'obtunded__medicine', 'exutory__medicine', 'immunomodulate__medicine', 'inotrope__medicine', 'transvag__medicine', 'bloodstroke__medicine', 'angiomatosis__medicine', 'gabexate__medicine', 'emr__medicine', 'scybala__medicine']",,,,
21,"['superlinearity__mathematics', 'bialgebraic__mathematics', 'nonic__mathematics', 'polysaturated__mathematics', 'semisimplicity__math']",,,,
22,"['biaffine__maths', 'bourbakian__maths', 'ultraholomorphic__maths', 'subfractal__maths', 'hyperarchimedean__maths', 'beanplot__maths', 'biorthonormal__maths', 'genon__maths']",,,,
23,"['calymenid__zoology', 'hemidactyl__zoology', 'partulid__zoology', 'cornulitid__zoology', 'nuculid__zoology', 'ichthyornithid__zoology', 'linyphiid__zoology', 'fasciole__zoology', 'hydromedusan__zoology', 'gravigrade__zoology', 'meropeid__zoology', 'muricid__zoology', 'cerococcid__zoology', 'tylopod__zoology', 'cassid__zoology', 'gerbilline__zoology', 'ostreaceous__zoology', 'mictyrid__zoology', 'medusian__zoology', 'spinosaurid__zoology', 'bythitid__zoology', 'monopisthocotylean__zoology', 'forficulid__zoology', 'saprophagan__zoology', 'polydesmid__zoology', 'cerionid__zoology', 'piloceratid__zoology', 'teratornithid__zoology', 'prophragma__zoology', 'microporellid__zoology', 'erpobdellid__zoology', 'aspinose__zoology', 'unibranchiate__zoology', 'almid__zoology', 'trocholitid__zoology', 'sphaeropsocid__zoology', 'arborealist__zoology', 'cirrous__zoology', 'geodiid__zoology', 'icterine__zoology', 'cytherellid__zoology', 'erethistid__zoology', 'polyzoan__zoology', 'nothosaurid__zoology', 'malurid__zoology', 'scizorhinal__zoology', 'rzehakinid__zoology', 'ostracoderm__zoology', 'auchenipterid__zoology']",,,,
24,"['zygophyllaceous__botany', 'cichoraceous__botany', 'hostaceous__botany', 'ramicaul__botany', 'synpetalous__botany', 'coronilla__botany', 'peltaspermaceous__botany', 'obpyriform__botany', 'calycinal__botany', 'epiphytal__botany', 'molendinaceous__botany', 'amblystegiaceous__botany', 'polyanthus__botany', 'angiospermous__botany', 'crinite__botany', 'anatropous__botany', 'crassula__botany', 'trichomics__botany', 'calciphilous__botany', 'raylessness__botany', 'connaraceous__botany', 'chlorococcaceous__botany', 'gametophore__botany', 'interpetiolar__botany', 'isomerous__botany']",,,,
25,"['antitime__physics', 'isoscalar__physics', 'photoferroelectrics__physics', 'hexatic__physics', 'microplasticity__physics', 'orthohelium__physics', 'phasematching__physics', 'nonmagnet__physics', 'electrokinetics__physics', 'femtobarn__physics', 'magnetocaloric__physics', 'teleparallelism__physics', 'paramagnet__physics', 'fermionize__physics', 'singleworld__physics', 'gaugeon__physics']",,,,
26,"['intralobular__anatomy', 'circummandibular__anatomy', 'cervicoscapular__anatomy', 'punctal__anatomy', 'chondrocranium__anatomy', 'enarthrosis__anatomy', 'inguen__anatomy', 'prebronchial__anatomy', 'ischiosacral__anatomy', 'rostrotentorial__anatomy', 'mesobronchium__anatomy', 'postvaginal__anatomy', 'diapophysial__anatomy', 'epipharynx__anatomy', 'diarthrodial__anatomy', 'perigastric__anatomy', 'cruropatagium__anatomy', 'mylohyoideus__anatomy', 'paravaginally__anatomy', 'periorbita__anatomy', 'frontomaxillary__anatomy', 'pelvifemoral__anatomy', 'choriocapillaris__anatomy', 'interpalatine__anatomy']",,,,
27,"['triole__music', 'rupestral__art', 'sforzando__music', 'clericocracy__politics', 'postnationalism__politics', 'pizzica__dance', 'antimonarchist__politics', 'laas__business', 'oversouling__music', 'danciness__music', 'discretionaries__economics', 'soloistic__music', 'dr.sc__education', 'emotronic__music', 'bso__education', 'acsi__economics', 'dichord__music', 'soulstress__music', 'perdendosi__music']",,,,
28,"['bogomil__historical', 'nonintrusion__historical', 'tidewaiter__historical', 'klephtic__historical', 'ordzhonikidze__historical', 'sabs__historical', 'oxgate__historical', 'securitate__historical', 'pistole__historical', 'botleas__history', 'backswordman__historical', 'ravenstone__historical', 'apollinarian__historical', 'cinemograph__historical', 'tarkhan__historical', 'campbellism__historical', 'saracen__history', 'genro__historical', 'ub__historical', 'lintstock__historical', 'andron__historical', 'palstaff__historical', 'kitskonstabel__historical', 'banj__historical', 'taborite__historical', 'hobelar__history']",,,,
29,"['synexpression__genetics', 'viritope__genetics', 'mesotetraploid__genetics', 'hypervariation__genetics', 'polycistron__genetics', 'supercontig__genetics', 'neofunctionalization__genetics', 'agrotransformation__genetics', 'isomir__genetics', 'homokaryotypic__genetics']",,,,
30,"['enantiodetermining__chemistry', 'tetrapotassium__chemistry', 'mercaptole__chemistry', 'diazotate__chemistry', 'photogen__chemistry', 'antozone__chemistry', 'percarburetted__chemistry', 'equimolecular__chemistry', 'lipophobicity__chemistry', 'silanization__chemistry', 'heterododecamer__chemistry', 'biatomic__chemistry', 'dibenzazepine__chemistry', 'tribopolymerization__chemistry', 'photoreaction__chemistry', 'isethionate__chemistry', 'oxal__chemistry', 'enthalpimetric__chemistry', 'idine__chemistry', 'tetraoxygen__chemistry']",,,,
31,"['hemidesmosome__biology', 'anisospore__biology', 'crenation__biology', 'reticulopodium__biology', 'thyasirid__biology', 'thigmotropism__biology', 'cytula__biology', 'archaeostomatous__biology', 'ascovirus__biology', 'achordate__biology', 'leucoplast__biology', 'bicarinate__biology', 'autointegration__biology', 'nucleomorph__biology', 'abstriction__biology', 'scotoperiod__biology', 'morphonomy__biology', 'biosystem__biology', 'elongately__biology', 'cleptobiosis__biology', 'aulate__biology']",,,,
32,"['helospectin__biochemistry', 'sakuranetin__biochemistry', 'nebulin__biochemistry', 'ctni__biochemistry', 'sarcosin__biochemistry', 'deoxyribonucleoside__biochemistry', 'ribosylation__biochemistry', 'aceticoceptor__biochemistry', 'a1c__biochemistry', 'esterolytic__biochemistry', 'cyclosome__biochemistry', 'mycocerosate__biochemistry', 'haematoporphyrin__biochemistry', 'brefeldin__biochemistry', 'datp__biochemistry', 'homomultimeric__biochemistry', 'monoglucosylated__biochemistry', 'lipomics__biochemistry', 'bioelectrochemical__biochemistry']",,,,
